month,station-gonaïves,station-juvénat-(p.v),station-daien,station-delas,station-port-au-prince,station-saint-arc,station-cap-haitien,station-ouanainthe,station-jacel,station-la-vallée-de-jacel,station-cayes
1986-11-01 00:00:00,0.00,136.10,136.80,95.90,98.00,12.50,13.20,26.8,234.00,93.70,165.2
1986-12-01 00:00:00,0.00,15.10,37.40,21.70,12.70,0.00,18.10,22,95.30,51.20,68.7
1987-01-01 00:00:00,19.80,8.50,8.40,13.30,22.20,15.00,233.20,26.5,39.50,52.30,85.8
1987-02-01 00:00:00,52.50,23.90,12.30,22.80,16.50,8.00,49.10,40.6,23.00,71.70,96.7
1987-03-01 00:00:00,65.90,34.20,23.60,82.20,36.20,58.00,202.50,98.8,47.10,36.40,64.4
1987-04-01 00:00:00,56.70,179.70,173.20,104.10,115.20,47.00,501.90,309.7,191.50,100.60,102.6
1987-05-01 00:00:00,11.40,321.10,254.70,260.50,156.30,30.00,241.90,114.8,187.00,163.30,110.9
1987-06-01 00:00:00,149.20,142.20,87.30,150.80,160.20,79.00,43.80,297.5,116.00,140.50,84.4
1987-07-01 00:00:00,43.50,191.50,102.40,143.20,178.50,101.40,17.10,73.6,76.00,81.20,73.4
1987-08-01 00:00:00,56.60,16.30,36.20,12.30,15.20,119.90,73.30,75.9,56.40,23.40,77
1987-09-01 00:00:00,171.60,173.70,160.50,182.80,135.00,104.10,79.50,222.9,99.40,122.50,135.2
1987-10-01 00:00:00,53.20,217.50,168.20,243.00,295.50,32.60,289.30,157.8,148.90,214.80,421.2
1987-11-01 00:00:00,2.50,50.70,3.70,17.60,19.50,45.80,153.00,56,24.50,104.80,103.9
1987-12-01 00:00:00,36.00,50.10,42.50,36.10,116.30,49.00,247.50,186.5,190.50,368.50,147.1
1988-01-01 00:00:00,10.00,2.70,1.30,5.90,2.00,0.00,0.00,46.1,12.90,8.20,61.5
1988-02-01 00:00:00,1.00,79.70,34.30,32.80,27.20,0.00,0.00,27.1,66.00,95.30,4.3
1988-03-01 00:00:00,1.20,65.80,43.40,76.20,33.50,0.00,0.00,42.7,93.00,113.50,142.4
1988-04-01 00:00:00,0.20,171.30,70.10,101.50,100.10,0.00,0.00,39.2,183.00,129.40,179.5
1988-05-01 00:00:00,91.30,205.40,28.50,140.80,32.00,0.00,0.00,312,134.60,142.40,129.2
1988-06-01 00:00:00,91.00,194.60,281.90,149.90,141.00,319.30,276.80,288.4,215.90,257.90,180.9
1988-07-01 00:00:00,86.90,77.90,66.80,62.40,122.50,131.60,62.30,187,69.40,180.40,93.2
1988-08-01 00:00:00,119.60,78.80,200.60,48.40,88.30,132.40,48.40,186.8,195.60,382.30,384.1
1988-09-01 00:00:00,19.10,274.70,131.90,221.60,242.90,185.50,243.00,224.9,215.50,392.20,184.4
1988-10-01 00:00:00,10.60,170.40,91.70,113.70,287.00,44.60,40.40,156.9,248.70,79.30,148.9
1988-11-01 00:00:00,23.00,24.80,64.40,30.60,37.50,19.10,68.00,14.7,36.50,174.70,79.4
1988-12-01 00:00:00,9.60,7.00,12.80,8.00,18.00,19.60,329.70,17.7,11.50,27.80,41.8
1989-01-01 00:00:00,0.10,44.30,45.70,52.60,77.50,0.00,35.50,3.4,57.00,20.90,54
1989-02-01 00:00:00,86.30,7.90,19.80,8.90,8.00,41.20,207.70,144.8,25.00,17.50,58.8
1989-03-01 00:00:00,11.60,209.30,125.50,126.00,274.40,99.50,62.20,36.7,170.00,144.50,169.6
1989-04-01 00:00:00,17.50,112.20,59.80,72.50,135.40,163.70,48.00,23.9,180.00,147.70,128.7
1989-05-01 00:00:00,16.00,252.80,176.50,215.80,163.30,135.90,108.20,135.9,224.50,152.80,104.1
1989-06-01 00:00:00,54.00,49.00,28.00,40.30,64.80,145.10,24.40,137.6,96.20,62.30,61
1989-07-01 00:00:00,114.60,111.40,144.30,125.00,97.00,206.50,19.30,126.6,58.90,31.30,62.6
1989-08-01 00:00:00,60.10,237.60,174.90,287.70,319.00,120.70,13.70,137.8,166.80,163.70,148.4
1989-09-01 00:00:00,38.00,71.60,134.80,94.80,136.00,167.60,57.90,94.6,103.50,142.00,265.3
1989-10-01 00:00:00,33.70,291.90,202.00,251.80,294.00,73.70,167.70,111.2,246.50,180.40,267.1
1989-11-01 00:00:00,37.90,59.80,148.10,69.90,66.00,20.70,45.60,22.8,54.50,124.30,71.4
1989-12-01 00:00:00,6.40,13.50,47.90,30.60,10.80,21.50,199.00,171.6,14.50,16.70,26.7
1990-01-01 00:00:00,0.00,11.30,50.20,19.40,0.00,32.20,13.00,29.1,41.50,23.30,176.7
